Year,Mammals,Birds,Reptiles,Amphibians,Fishes,Insects,Molluscs,Other invertebrates,Plants,Fungi & protists,TOTAL
2024,546,395,789,1266,1464,994,647,617,861,109,6888
2023,550,405,789,1265,1340,978,622,387,897,107,6340
2022,550,413,784,1144,1220,971,607,371,102,3640,9802
2021,547,447,783,1085,1139,937,599,370,96,15403,21406
2020,539,460,584,1036,1036,690,586,347,82,13285,18645
2019,505,461,565,964,868,571,564,344,60,10629,15531
2018,482,469,515,903,674,537,546,348,21,9032,13527
2017,476,461,484,869,676,461,547,340,18,8455,12787
2016,464,448,421,852,660,408,513,312,12,7781,11871
2015,481,416,361,810,614,305,503,311,11,7322,11134
2014,477,419,356,789,607,270,501,307,6,6836,10568
2013,447,397,329,783,530,247,486,224,1,6453,9897
2012,446,389,296,767,494,207,480,183,1,5918,9181
2011,447,382,284,764,477,169,417,183,1,5688,8812
2010,450,372,200,758,400,166,328,183,1,5255,8113
2009,449,362,150,754,298,151,245,164,1,4890,7464
2008,448,361,134,755,295,132,229,162,1,4797,7314
2007,349,356,139,737,254,129,224,96,1,4563,6848
2006,348,351,101,738,237,129,222,94,1,4481,6702
2004,352,345,79,729,144,118,236,76,0,3372,5451
2003,337,331,78,37,143,118,236,76,0,2993,4349
2002,339,326,79,37,143,118,236,76,0,2645,3999
2000,340,321,74,38,143,118,237,76,0,2613,3960
1998,315,235,59,31,134,116,212,77,0,2376,3555
