Year,Mammals,Birds,Reptiles,Amphibians,Fishes,Insects,Molluscs,Other invertebrates,Plants,Fungi & Protists,TOTAL
2024,567,693,626,809,1686,993,1064,607,10181,188,17414
2023,554,717,625,816,1604,954,1059,743,9673,167,16912
2022,557,754,625,740,1539,949,1067,732,9376,154,16493
2021,557,773,623,730,1454,925,1069,727,8959,142,15959
2020,557,798,541,704,1338,811,1032,712,8096,127,14718
2019,536,800,535,648,1214,765,1019,710,6818,91,13136
2018,536,799,505,639,1172,700,1016,708,5883,24,11983
2017,526,786,465,679,1242,680,1016,709,5601,0,11794
2016,526,787,421,670,1238,634,885,695,5446,14,11316
2015,507,741,403,656,1211,565,871,685,5376,13,11028
2014,509,741,397,650,1197,524,859,685,5234,0,10856
2013,500,713,386,647,1167,524,859,650,5099,0,10545
2012,497,727,367,657,1149,503,828,569,4961,0,10211
2011,497,682,351,655,1137,481,809,568,4814,0,10044
2010,493,678,288,654,1075,478,587,568,4708,0,9529
2009,505,669,226,657,810,471,500,629,4607,0,9074
2008,505,671,203,675,717,424,500,629,4607,0,8931
2007,582,672,204,630,717,426,486,325,4600,0,8617
2006,583,674,167,631,681,426,488,325,4591,0,8566
2005,587,674,161,628,470,392,488,302,4591,0,8393
2004,609,681,158,490,444,389,481,300,3864,0,7017
2003,617,684,159,490,452,393,481,300,3377,0,6543
2000,680,161,83,443,379,479,300,3377,0,6483,12385
1998,612,704,153,75,443,377,451,300,3222,0,6337
